,Cloudiness,Humidity,Latitude,Longitude,Temperature,Windspeed,Country,Date
355,75,93,58.21,-6.39,50.0,5.82,GB,1605699330
356,3,91,29.96,122.3,70.18,23.15,CN,1605699330
357,92,83,21.65,-101.5,49.37,14.85,MX,1605699330
358,100,72,16.98,73.3,83.46,7.92,IN,1605699330
359,4,56,18.73,-103.68,74.73,3.51,MX,1605699331
360,84,87,-45.87,170.5,50.0,3.0,NZ,1605699331
361,88,82,10.55,119.99,83.32,13.49,PH,1605699331
362,75,88,22.81,-80.08,75.2,10.29,CU,1605699331
363,41,65,-4.97,39.83,84.54,9.37,TZ,1605699331
364,0,49,47.07,51.87,26.6,13.42,KZ,1605699101
365,58,71,60.75,-137.51,5.0,2.24,CA,1605699332
366,90,67,43.21,-75.46,21.0,6.93,US,1605699124
367,0,81,-45.58,-72.07,48.2,1.12,CL,1605699151
368,91,86,11.0,122.67,77.67,7.11,PH,1605699332
369,20,58,41.14,-73.36,30.99,4.7,US,1605699332
370,75,55,38.89,-76.51,37.4,8.05,US,1605699170
371,75,100,50.47,-4.72,57.2,20.8,GB,1605699333
372,11,70,-7.61,-72.9,78.98,2.77,BR,1605699333
373,100,78,5.67,73.0,81.34,14.05,MV,1605699333
374,75,72,-28.87,153.57,66.2,5.82,AU,1605699333
375,0,86,62.62,22.42,42.01,6.93,FI,1605699333
376,18,56,-31.54,-68.54,66.4,9.62,AR,1605699038
377,0,75,70.66,23.68,41.0,8.05,NO,1605699133
378,0,21,24.09,32.91,84.33,6.38,EG,1605699334
379,0,79,57.3,53.87,18.0,6.87,RU,1605699334
380,100,80,-6.22,155.63,80.38,6.89,PG,1605699334
381,40,83,4.41,114.01,84.2,4.7,MY,1605699334
382,76,88,50.68,156.12,30.79,27.6,RU,1605699335
383,75,93,63.73,8.83,41.0,1.12,NO,1605699335
384,100,92,14.3,-91.92,63.0,6.24,GT,1605699335
385,23,69,43.27,-7.54,66.99,8.99,ES,1605699335
386,1,60,44.37,-100.35,41.0,8.05,US,1605699335
387,40,62,-12.9,45.08,86.0,10.29,YT,1605699335
388,20,83,1.49,124.85,80.6,4.41,ID,1605699335
389,96,78,-0.95,100.35,80.62,2.44,ID,1605699065
390,90,100,-17.8,-63.17,71.6,5.82,BO,1605699336
391,40,85,50.1,-91.92,14.0,8.05,CA,1605699336
392,20,83,1.45,125.18,80.6,3.11,ID,1605699336
393,96,82,-37.62,-73.65,52.5,3.65,CL,1605699336
394,0,42,55.77,43.9,26.6,13.42,RU,1605699336
395,90,59,-37.83,140.77,60.8,3.49,AU,1605699072
396,0,17,14.97,8.89,83.73,15.52,NE,1605699337
397,90,93,37.91,-121.6,59.0,8.05,US,1605699337
398,0,21,17.49,44.13,78.8,9.17,SA,1605699337
399,75,77,33.73,135.98,66.2,3.36,JP,1605699337
400,100,91,62.1,126.7,-2.96,4.97,RU,1605699050
401,59,44,36.96,36.2,71.01,2.64,TR,1605699337
402,100,87,67.63,134.63,-8.68,4.9,RU,1605699337
403,100,94,57.33,10.52,52.0,8.01,DK,1605699338
404,40,88,4.64,103.44,84.0,4.7,MY,1605699338
405,43,89,13.49,106.98,76.64,2.08,KH,1605699338
406,10,46,36.76,45.72,51.21,6.64,IR,1605699338
407,0,33,25.18,73.43,75.16,4.03,IN,1605699338
408,75,80,71.0,24.66,41.0,21.92,NO,1605699338
409,40,57,37.55,45.08,48.2,6.93,IR,1605699338
410,96,83,-14.83,-64.9,78.8,5.82,BO,1605699061
411,61,75,5.4,125.46,84.6,18.05,PH,1605699339
412,44,73,2.04,45.34,82.09,13.6,SO,1605699039
413,27,99,34.74,111.88,59.0,11.39,CN,1605699149
414,56,46,-0.48,15.9,89.65,2.15,CG,1605699339
415,91,82,5.38,-52.95,80.83,11.14,GF,1605699339
416,0,82,59.7,150.17,-2.16,11.5,RU,1605699340
417,7,60,-19.98,57.61,78.01,11.99,MU,1605699340
418,0,68,35.5,134.23,68.0,13.87,JP,1605699340
419,40,52,25.36,55.4,87.8,12.75,AE,1605699340
420,75,70,5.88,-10.05,87.8,3.36,LR,1605699340
421,0,43,13.46,14.71,82.87,6.89,TD,1605699340
422,75,79,7.04,134.26,84.2,10.29,PW,1605699340
423,20,87,61.86,25.19,42.8,9.17,FI,1605699341
424,93,85,1.2,-70.17,74.37,2.59,CO,1605699341
425,0,36,29.06,-13.56,80.6,6.93,ES,1605699341
426,2,29,7.13,40.7,73.17,10.27,ET,1605699341
427,97,84,-39.46,173.86,51.01,11.99,NZ,1605699341
428,72,87,13.31,123.34,78.35,3.27,PH,1605699341
429,75,74,6.58,3.75,86.0,5.82,NG,1605699341
430,90,55,64.18,-51.72,39.2,1.12,GL,1605699342
431,100,95,39.82,109.98,28.87,21.07,CN,1605699342
432,100,93,69.3,139.9,-2.85,5.93,RU,1605699342
433,100,96,46.68,113.28,18.59,19.35,MN,1605699342
434,40,75,71.04,27.85,41.0,31.09,NO,1605699342
435,20,62,37.72,-25.43,59.0,14.99,PT,1605699342
436,90,68,43.15,-77.68,27.0,8.05,US,1605699342
437,0,16,13.18,32.74,98.69,8.77,SD,1605699343
438,100,92,57.18,27.67,47.84,12.5,LV,1605699343
439,95,77,46.49,135.88,18.23,1.92,RU,1605699343
440,90,100,60.73,77.59,21.2,6.71,RU,1605699099
441,21,23,-11.37,38.42,99.21,3.67,TZ,1605699343
442,100,85,55.1,-105.28,17.6,10.29,CA,1605699343
443,79,73,-6.88,112.21,84.54,8.81,ID,1605699344
444,0,50,31.22,29.96,75.2,6.93,EG,1605699133
445,78,72,4.42,-7.35,83.66,6.35,CI,1605699344
446,22,14,-16.84,36.99,111.6,0.58,MZ,1605699344
447,90,85,50.23,-63.6,23.0,10.29,CA,1605699344
448,100,91,10.15,-85.45,72.03,2.57,CR,1605699344
449,47,33,-31.0,26.33,80.4,11.23,ZA,1605699344
